"VCF0004","VCF0114","VCF0704a"
1948,3,0
1948,4,0
1948,2,0
1948,4,2
1948,3,0
1948,4,0
1948,2,0
1948,3,2
1948,1,0
1948,3,0
1948,5,0
1948,3,0
1948,1,0
1948,1,2
1948,4,0
1948,2,1
1948,3,0
1948,4,0
1948,1,0
1948,5,1
1948,3,0
1948,3,0
1948,2,2
1948,1,0
1948,2,0
1948,4,1
1948,3,0
1948,3,2
1948,5,2
1948,1,2
1948,2,0
1948,3,0
1948,2,0
1948,2,0
1948,4,0
1948,4,1
1948,4,0
1948,3,1
1948,3,0
1948,4,1
1948,3,0
1948,1,0
1948,3,0
1948,4,2
1948,2,1
1948,4,2
1948,4,0
1948,4,0
1948,3,1
1948,4,1
1948,4,0
1948,4,1
1948,2,0
1948,3,0
1948,4,0
1948,1,0
1948,2,0
1948,2,0
1948,2,0
1948,1,0
1948,3,0
1948,1,0
1948,5,1
1948,1,0
1948,4,0
1948,4,0
1948,4,1
1948,3,0
1948,3,2
1948,4,0
1948,4,2
1948,2,2
1948,3,0
1948,3,0
1948,3,1
1948,3,1
1948,4,0
1948,4,2
1948,5,0
1948,3,2
1948,2,2
1948,1,0
1948,4,2
1948,0,0
1948,2,0
1948,4,0
1948,4,0
1948,1,0
1948,2,0
1948,4,0
1948,1,0
1948,1,0
1948,2,0
1948,2,2
1948,2,0
1948,2,1
1948,5,1
1948,3,0
1948,2,2
1948,1,0
1948,3,0
1948,5,0
1948,5,0
1948,4,2
1948,4,1
1948,4,2
1948,5,2
1948,5,1
1948,3,1
1948,4,0
1948,5,2
1948,2,2
1948,3,1
1948,4,2
1948,3,2
1948,3,1
1948,4,1
1948,4,2
1948,5,0
1948,4,2
1948,4,0
1948,2,0
1948,5,2
1948,4,0
1948,0,0
1948,2,0
1948,1,0
1948,2,1
1948,5,0
1948,3,1
1948,5,1
1948,2,1
1948,3,0
1948,3,1
1948,4,0
1948,3,0
1948,4,2
1948,3,0
1948,5,1
1948,4,1
1948,4,1
1948,4,1
1948,3,1
1948,4,2
1948,2,0
1948,5,0
1948,3,2
1948,4,1
1948,4,1
1948,3,0
1948,1,0
1948,3,0
1948,3,0
1948,2,0
1948,3,0
1948,2,0
1948,5,0
1948,4,0
1948,4,1
1948,5,2
1948,4,1
1948,4,0
1948,3,0
1948,3,1
1948,3,2
1948,2,1
1948,1,1
1948,2,1
1948,3,1
1948,4,1
1948,4,0
1948,5,2
1948,1,0
1948,1,1
1948,4,1
1948,4,2
1948,3,1
1948,3,0
1948,3,0
1948,5,2
1948,3,0
1948,5,2
1948,3,0
1948,3,0
1948,4,2
1948,1,2
1948,1,0
1948,1,0
1948,1,0
1948,4,1
1948,1,0
1948,1,0
1948,1,0
1948,2,0
1948,5,0
1948,3,1
1948,1,0
1948,2,0
1948,3,1
1948,3,0
1948,3,2
1948,4,1
1948,4,0
1948,1,0
1948,1,0
1948,1,0
1948,5,1
1948,2,1
1952,4,2
1952,4,1
1952,3,2
1952,3,2
1952,1,2
1952,4,2
1952,1,2
1952,2,1
1952,1,0
1952,4,2
1952,3,2
1952,4,2
1952,4,1
1952,1,2
1952,1,1
1952,3,1
1952,4,1
1952,1,1
1952,2,2
1952,3,1
1952,4,0
1952,3,2
1952,4,2
1952,2,1
1952,0,0
1952,2,0
1952,1,2
1952,1,0
1952,3,1
1952,1,0
1952,4,0
1952,1,1
1952,3,0
1952,2,0
1952,3,0
1952,3,2
1952,2,2
1952,0,0
1952,4,0
1952,3,1
1952,3,0
1952,4,1
1952,1,0
1952,3,2
1952,1,0
1952,1,0
1952,2,2
1952,1,0
1952,4,1
1952,1,2
1952,1,0
1952,3,0
1952,2,1
1952,3,2
1952,3,0
1952,3,0
1952,1,2
1952,4,2
1952,1,0
1952,2,0
1952,2,0
1952,1,2
1952,4,0
1952,0,0
1952,1,2
1952,0,0
1952,2,1
1952,3,2
1952,2,1
1952,4,2
1952,3,1
1952,4,0
1952,3,2
1952,4,1
1952,3,2
1952,4,2
1952,4,1
1952,3,2
1952,1,2
1952,2,2
1952,2,2
1952,4,1
1952,3,2
1952,3,2
1952,2,0
1952,2,1
1952,1,2
1952,1,2
1952,4,0
1952,4,1
1952,3,2
1952,3,1
1952,1,1
1952,4,2
1952,4,2
1952,3,0
1952,1,0
1952,1,0
1952,2,0
1952,1,1
1952,1,0
1952,1,1
1952,1,1
1952,1,0
1952,2,0
1952,4,1
1952,3,1
1952,3,0
1952,4,2
1952,3,2
1952,1,0
1952,2,1
1952,1,0
1952,1,2
1952,3,1
1952,2,0
1952,4,2
1952,4,2
1952,2,2
1952,3,1
1952,2,2
1952,3,0
1952,2,2
1952,3,1
1952,2,0
1952,3,0
1952,1,0
1952,5,2
1952,1,2
1952,3,1
1952,4,1
1952,1,2
1952,3,0
1952,2,2
1952,1,0
1952,2,0
1952,3,1
1952,4,2
1952,4,0
1952,5,1
1952,4,1
1952,1,1
1952,2,1
1952,2,0
1952,4,2
1952,3,2
1952,4,1
1952,1,1
1952,1,2
1952,2,1
1952,4,1
1952,4,2
1952,2,2
1952,2,1
1952,3,1
1952,2,2
1952,4,0
1952,1,0
1952,3,2
1952,3,0
1952,1,0
1952,2,2
1952,4,2
1952,1,1
1952,1,0
1952,4,2
1952,3,2
1952,5,2
1952,3,2
1952,1,0
1952,3,2
1952,4,1
1952,3,0
1952,3,1
1952,4,1
1952,1,0
1952,1,0
1952,4,1
1952,1,0
1952,1,1
1952,4,1
1952,3,0
1952,1,0
1952,1,0
1952,3,2
1952,4,2
1952,2,2
1952,4,2
1952,3,2
1952,4,1
1952,4,0
1952,1,0
1952,3,2
1952,3,1
1952,4,2
1952,3,2
1952,4,2
1952,2,0
1952,3,2
1952,5,2
1952,1,0
1952,3,1
1952,1,2
1952,2,2
1952,1,0
1952,4,2
1952,2,0
1952,4,2
1952,5,2
1952,1,1
1952,4,1
1952,3,0
1952,3,0
1952,3,0
1952,3,2
1952,4,0
1952,4,0
1952,4,2
1952,4,2
1952,4,0
1952,3,0
1952,1,0
1952,4,1
1952,4,1
1952,3,2
1952,4,1
1952,4,2
1952,4,0
1952,4,2
1952,4,1
1952,3,0
1952,4,2
1952,4,0
1952,3,0
1952,4,0
1952,4,2
1952,1,0
1952,3,0
1952,3,0
1952,4,0
1952,1,2
1952,1,0
1952,3,2
1952,1,2
1952,4,2
1952,3,1
1952,2,2
1952,3,1
1952,4,0
1952,3,1
1952,4,2
1952,4,2
1952,4,1
1952,3,2
1952,2,1
1952,3,1
1952,3,0
1952,1,1
1952,3,0
1952,1,2
1952,2,0
1952,1,0
1952,2,1
1952,1,1
1952,3,1
1952,4,2
1952,3,2
1952,1,0
1952,3,0
1952,4,1
1952,4,1
1952,3,0
1952,2,2
1952,4,0
1952,4,1
1952,2,2
1952,2,0
1952,1,0
1952,1,2
1952,5,2
1952,2,0
1952,2,2
1952,4,2
1952,1,0
1952,5,1
1952,2,1
1952,3,1
1952,2,1
1952,5,1
1952,4,2
1952,4,1
1952,2,0
1952,3,1
1952,3,2
1952,2,2
1952,4,0
1952,1,2
1952,1,1
1952,4,1
1952,4,0
1952,4,1
1952,5,2
1952,1,0
1952,2,2
1952,2,0
1952,2,0
1952,3,0
1952,3,1
1952,4,1
1952,4,1
1952,4,2
1952,4,1
1952,5,0
1952,1,2
1952,4,1
1952,3,1
1952,1,2
1952,4,2
1952,1,2
1952,1,1
1952,3,2
1952,0,2
1952,4,2
1952,4,0
1952,2,0
1952,2,2
1952,1,0
1952,3,1
1952,3,1
1952,4,2
1952,1,1
1952,1,2
1952,4,0
1952,4,2
1952,1,2
1952,4,2
1952,0,0
1952,1,0
1952,5,2
1952,4,1
1952,1,0
1952,1,0
1952,4,2
1952,2,2
1952,3,2
1952,4,1
1952,3,1
1952,1,1
1952,4,0
1952,2,1
1952,4,2
1952,4,2
1952,2,2
1952,1,0
1952,4,1
1952,4,2
1952,4,1
1952,3,2
1952,5,0
1952,4,0
1952,4,1
1952,3,2
1952,4,2
1952,1,2
1952,3,2
1952,1,1
1952,2,0
1952,4,2
1952,4,2
1952,1,1
1952,4,0
1952,4,1
1952,4,2
1952,4,2
1952,4,2
1952,4,0
1952,1,1
1952,5,2
1952,4,0
1952,3,1
1952,4,2
1952,4,0
1952,4,1
1952,2,1
1952,4,1
1952,4,1
1952,3,0
1952,4,1
1952,4,0
1952,1,0
1952,3,1
1952,5,2
1952,2,2
1952,1,0
1952,4,2
1952,4,0
1952,4,1
1952,4,2
1952,2,2
1952,4,0
1952,4,0
1952,3,1
1952,4,0
1952,4,0
1952,5,2
1952,3,2
1952,1,0
1952,3,1
1952,4,2
1952,3,0
1952,2,1
1952,1,0
1952,2,1
1952,4,2
1952,5,2
1952,4,1
1952,2,1
1952,2,0
1952,1,0
1952,4,2
1952,1,0
1952,1,2
1952,4,1
1952,4,2
1952,1,2
1952,2,0
1952,4,1
1952,4,2
1952,2,2
1952,3,2
1952,3,0
1952,4,2
1952,3,1
1952,1,1
1952,3,2
1952,4,1
1952,3,1
1952,4,0
1952,2,2
1952,3,0
1952,4,1
1952,4,2
1952,3,2
1952,1,0
1952,3,2
1952,3,0
1952,1,1
1952,4,2
1952,3,1
1952,3,1
1952,2,0
1952,0,0
1952,4,2
1952,1,0
1952,1,0
1952,1,1
1952,4,1
1952,2,0
1952,1,0
1952,4,2
1952,2,0
1952,3,2
1952,1,0
1952,2,2
1952,4,1
1952,2,2
1952,4,2
1952,3,2
1952,4,1
1952,3,1
1952,3,1
1952,4,1
1952,2,2
1952,4,2
1952,3,1
1952,3,0
1952,4,0
1952,4,2
1952,4,1
1952,3,1
1952,4,1
1952,5,2
1952,4,2
1952,1,2
1952,4,2
1952,2,1
1952,4,1
1952,2,0
1952,1,1
1952,4,2
1952,3,1
1952,5,2
1952,2,1
1952,4,2
1952,1,2
1952,5,2
1952,4,2
1952,4,2
1952,3,0
1952,3,0
1952,0,0
1952,3,2
1952,3,1
1952,2,0
1952,4,2
1952,1,1
1952,1,2
1952,1,0
1952,4,0
1952,1,2
1952,5,1
1952,3,0
1952,4,1
1952,4,1
1952,1,0
1952,1,0
1952,2,0
1952,3,2
1952,3,1
1952,1,0
1952,5,2
1952,3,2
1952,1,1
1952,2,1
1952,2,0
1952,1,0
1952,5,0
1952,0,0
1952,0,0
1952,1,0
1952,2,2
1952,4,1
1952,2,0
1952,3,2
1952,1,2
1952,4,2
1952,2,0
1952,3,1
1952,3,1
1952,2,2
1952,1,0
1952,1,2
1952,4,0
1952,2,1
1952,4,0
1952,1,1
1952,4,2
1952,1,0
1952,3,2
1952,3,0
1952,5,2
1952,3,0
1952,2,2
1952,2,2
1952,1,0
1952,1,0
1952,4,2
1952,4,1
1952,1,0
1952,2,2
1952,2,0
1952,4,0
1952,4,2
1952,3,1
1952,2,2
1952,4,0
1952,1,1
1952,3,1
1952,3,2
1952,2,0
1952,2,1
1952,1,0
1952,3,2
1952,1,0
1952,5,2
1952,4,2
1952,4,2
1952,4,1
1952,3,2
1952,2,1
1952,3,2
1952,2,0
1952,3,0
1952,4,0
1952,4,2
1952,4,2
1952,3,0
1952,4,0
1952,4,1
1952,3,0
1952,4,2
1952,4,1
1952,1,1
1952,2,0
1952,1,2
1952,1,1
1952,4,2
1952,3,2
1952,1,0
1952,0,0
1952,2,1
1952,3,1
1952,1,2
1952,4,0
1952,4,2
1952,0,0
1952,4,2
1952,2,0
1952,3,2
1952,1,0
1952,1,2
1952,4,2
1952,4,2
1952,2,2
1952,2,0
1952,4,2
1952,1,0
1952,3,0
1952,4,2
1952,1,0
1952,3,2
1952,4,0
1952,4,1
1952,3,1
1952,4,1
1952,4,2
1952,5,2
1952,4,0
1952,4,2
1952,4,2
1952,2,1
1952,0,0
1952,2,2
1952,4,2
1952,1,0
1952,4,1
1952,3,2
1952,4,2
1952,3,2
1952,2,0
1952,3,2
1952,4,2
1952,5,2
1952,4,2
1952,5,2
1952,3,1
1952,2,0
1952,2,0
1952,1,2
1952,4,2
1952,1,2
1952,1,2
1952,4,2
1952,3,0
1952,1,0
1952,4,0
1952,1,0
1952,4,2
1952,3,1
1952,4,1
1952,0,2
1952,4,2
1952,4,1
1952,4,0
1952,4,1
1952,3,1
1952,2,2
1952,4,0
1952,5,2
1952,4,2
1952,1,1
1952,4,2
1952,4,2
1952,4,2
1952,4,2
1952,4,2
1952,4,2
1952,4,2
1952,2,0
1952,2,0
1952,1,0
1952,1,0
1952,1,0
1952,3,2
1952,4,2
1952,4,2
1952,1,1
1952,4,2
